# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = posterior_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = posterior_model_3.data.R
# init = 2 (Default)
# random
#   seed = 3284628023
# output
#   file = posterior_model_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,p.1,p.2,p.3,p.4,p.5,p.6,p.7
# Adaptation terminated
# Step size = 0.66802
# Diagonal elements of inverse mass matrix:
# 0.0775894, 0.0419018, 0.117084, 0.16983, 1.47057, 0.281274
-172.773,0.996518,0.66802,3,7,0,178.356,0.154503,0.454218,0.166726,0.0689337,0.00499757,0.0879199,0.0627018
-173.126,0.931002,0.66802,3,7,0,174.994,0.121295,0.373294,0.171844,0.15408,0.00754746,0.121365,0.050575
-173.006,1,0.66802,3,7,0,173.651,0.142302,0.482451,0.149311,0.0664716,0.0142877,0.0893352,0.0558417
-174.362,0.351035,0.66802,3,7,0,180.298,0.17694,0.381549,0.143449,0.102656,0.00115165,0.137292,0.0569622
-176.746,0.880384,0.66802,3,7,0,178.378,0.0709738,0.455948,0.118166,0.155683,0.00279345,0.116874,0.079561
-177.026,0.987322,0.66802,3,7,0,180.055,0.0674344,0.476075,0.124415,0.102491,0.0325628,0.148558,0.0484637
-175.506,0.904878,0.66802,3,7,0,180.394,0.134867,0.512245,0.100862,0.0788787,0.0106422,0.129095,0.03341
-172.651,0.890332,0.66802,3,7,0,179.14,0.157185,0.391455,0.149761,0.121311,0.00562677,0.0957419,0.0789187
-172.64,0.82067,0.66802,2,3,0,175.732,0.134372,0.40874,0.215975,0.0868172,0.00494937,0.0847056,0.0644408
-173.783,0.915303,0.66802,2,3,0,174.725,0.129244,0.404228,0.14162,0.103126,0.0220797,0.0940802,0.105622
-172.523,1,0.66802,2,3,0,174.343,0.121987,0.437314,0.210014,0.0820971,0.00529665,0.100833,0.0424585
-171.76,0.839022,0.66802,3,7,0,176.378,0.139128,0.441448,0.150133,0.105104,0.0136852,0.10487,0.0456317
-172.008,0.976654,0.66802,3,7,0,172.458,0.122756,0.409563,0.202423,0.103093,0.00652418,0.0909581,0.0646829
-172.926,0.926471,0.66802,2,3,0,173.725,0.172356,0.420465,0.143295,0.107082,0.0132978,0.109124,0.0343803
-172.969,0.926932,0.66802,3,7,0,174.822,0.119009,0.445334,0.120144,0.103952,0.00857536,0.12822,0.074765
-172.637,0.99203,0.66802,3,7,0,174.261,0.140923,0.40835,0.21087,0.104829,0.00993158,0.0895729,0.0355235
-175.565,0.763985,0.66802,2,3,0,176.893,0.182292,0.416902,0.177809,0.0890707,0.00195243,0.0528582,0.079115
-178.739,0.739221,0.66802,3,7,0,184.907,0.10253,0.425907,0.153082,0.109128,2.06602e-05,0.166896,0.0424371
-175.199,0.559317,0.66802,3,7,0,181.977,0.105187,0.458172,0.193498,0.10497,0.0236789,0.0480133,0.0664813
