# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = bernoulli_3.data.R
# init = 2 (Default)
# random
#   seed = 2961180736
# output
#   file = bernoulli_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.919933
# Diagonal elements of inverse mass matrix:
# 0.446808
-7.67017,0.983598,0.919933,1,3,0,7.90459,0.299541
-7.6561,0.979996,0.919933,2,3,0,7.8108,0.359413
-7.66023,0.998918,0.919933,1,1,0,7.66398,0.362303
-7.64339,1,0.919933,2,3,0,7.65587,0.34733
-7.64374,0.998023,0.919933,2,3,0,7.65848,0.319071
-7.76705,0.965836,0.919933,1,3,0,7.82521,0.404445
-8.17618,0.795185,0.919933,2,3,0,8.96969,0.2048
-7.65876,0.99661,0.919933,2,3,0,8.19268,0.306119
-7.68882,0.986346,0.919933,1,3,0,7.75163,0.377496
-7.77162,0.959163,0.919933,1,3,0,7.94537,0.265851
-7.89376,0.939771,0.919933,1,3,0,8.25467,0.43433
-8.52184,0.837798,0.919933,1,1,0,8.52882,0.523792
-7.73874,1,0.919933,1,3,0,8.31407,0.395977
-10.4694,0.53341,0.919933,1,3,0,10.6469,0.6699
-9.50589,1,0.919933,1,1,0,10.5502,0.609702
-13.2318,0.401792,0.919933,1,1,0,13.2744,0.783956
-13.9915,0.868937,0.919933,1,1,0,15.1498,0.806266
-9.62708,1,0.919933,1,1,0,12.9711,0.61823
-7.81127,1,0.919933,1,3,0,9.1568,0.416039
-7.63896,1,0.919933,2,3,0,7.81285,0.327925
-7.77248,0.968412,0.919933,1,3,0,7.80055,0.265644
-7.64992,0.999514,0.919933,1,3,0,7.75074,0.312699
-7.65256,0.804082,0.919933,2,3,0,9.05621,0.310526
-7.69884,0.992417,0.919933,1,3,0,7.6989,0.287162
-7.69884,0.644176,0.919933,1,3,0,9.62084,0.287162
-7.65311,0.925259,0.919933,2,3,0,8.24588,0.35712
